Code,cycles,P25_min,P50_min,P75_min
002768.SZ,5,5743.640833333333,7195.073,8662.671666666667
002769.SZ,30,4678.089291666667,10076.821408333333,15831.954483333333
002771.SZ,53,2885.3415,8640.554333333333,12959.949483333334
002772.SZ,14,2685.130041666667,17972.770091666665,33856.35807083333
002773.SZ,4,70152.1877375,101577.93498333334,131843.3947
002774.SZ,20,11811.380558333334,19371.00575,30597.105304166667
002775.SZ,12,3961.6734875,7038.094333333333,8638.3690125
002777.SZ,28,3585.6652083333333,11378.029241666667,22319.179416666666
002778.SZ,24,3951.7379583333336,8641.556583333333,16161.447720833332
002779.SZ,16,2519.9824125,9359.760658333333,27720.868333333332
002780.SZ,16,3948.5277625,8640.084158333333,14400.423050000001
002782.SZ,10,11912.887483333334,29422.45216666667,64924.88125416667
002783.SZ,13,1.8948333333333334,4331.806183333333,15824.35235
002785.SZ,24,8286.098012499999,11549.762991666666,28726.186720833335
002786.SZ,42,4310.932804166667,7197.162091666667,15845.121029166667
002787.SZ,33,4323.556483333334,10071.05465,17262.22735
002788.SZ,4,9621.070291666667,15695.541666666666,25068.81875
002789.SZ,34,4679.6724208333335,10793.079258333333,18342.232795833334
002790.SZ,6,9349.311420833334,15131.465675,21964.058779166666
002791.SZ,28,4319.039208333334,8621.5694,22765.134379166666
002792.SZ,14,6114.161670833333,12952.786341666666,22324.336079166664
002793.SZ,8,7538.654558333334,11494.389666666666,12975.430204166667
002795.SZ,41,2882.464483333333,5805.8055,11540.9025
002796.SZ,5,4314.1835,5765.4415,7200.461833333334
002797.SZ,1,78904.24516666666,78904.24516666666,78904.24516666666
002798.SZ,28,2771.947095833333,7920.796158333334,13683.190904166666
002799.SZ,31,7919.920091666667,12965.399683333333,23807.940091666667
002800.SZ,31,1445.7402416666669,5729.270166666666,8664.587083333334
002801.SZ,19,9334.705666666667,18718.358833333332,25900.028341666664
002802.SZ,18,3237.313875,9357.7101,16916.253995833333
002803.SZ,29,5758.990516666667,8646.289016666668,22726.325166666666
002805.SZ,16,4325.385041666666,10073.113658333332,13323.3531375
002806.SZ,41,1440.3493166666667,4328.968316666666,11525.6095
002807.SZ,5,20173.9795,30236.20285,40123.15433333333
002808.SZ,96,1445.9033583333332,4275.615583333333,7198.4265000000005
002809.SZ,11,1438.763575,4323.339666666667,7194.15525
002810.SZ,25,8631.026683333333,13026.568,21502.814666666665
002811.SZ,1,11514.949166666667,11514.949166666667,11514.949166666667
002812.SZ,41,4025.0326666666665,7394.4095,14121.671316666667
002813.SZ,44,2570.2758625,7196.271166666667,14738.112320833334
002815.SZ,14,15631.837179166667,25091.523325000002,37051.19198333334
002816.SZ,42,3230.6012458333335,5751.178591666667,11135.602670833334
002817.SZ,19,4274.480825000001,11484.970833333333,21604.008583333336
002818.SZ,6,4884.001154166667,19425.076,23444.441708333336
002819.SZ,33,4320.071833333333,11508.063183333334,21589.2505
002820.SZ,4,10.844012500000002,4325.063925,10796.487629166668
002821.SZ,10,4666.397554166666,5807.386,12546.251404166667
002822.SZ,59,1438.952925,2900.0925,7188.329333333333
002823.SZ,2,205.26394583333334,240.50174166666665,275.7395375
002824.SZ,2,4327.565166666667,4330.958833333334,4334.3525
002825.SZ,2,1201.9236708333333,2240.876341666667,3279.8290125000003
002826.SZ,21,5746.669833333333,17281.534666666666,34566.7105
002827.SZ,13,5763.704833333333,14396.5295,31701.83035
002828.SZ,19,2162.0906583333335,8637.893816666667,18714.926158333332
002829.SZ,29,2883.0088333333333,10081.17335,18715.210816666666
002830.SZ,32,4326.242316666667,9356.328408333333,12600.596583333332
002831.SZ,3,17097.05324166667,18418.76065,21598.705325000003
002832.SZ,21,5851.697,11505.9005,24466.118816666665
002833.SZ,2,3699.8324208333333,5811.062674999999,7922.292929166666
002835.SZ,14,9365.231095833333,16560.481,41300.11839166666
002836.SZ,5,8641.46885,12956.010333333334,17273.384166666667
002837.SZ,9,4309.894833333334,10067.683166666666,17285.482183333334
002838.SZ,4,46358.67469583333,72674.81465833333,90009.88133333334
002839.SZ,7,20788.939325,38626.63148333333,80824.49375
002840.SZ,4,1068.8394291666666,2864.2049333333334,8993.1237625
002841.SZ,13,5820.067483333333,24314.547483333332,38815.26818333333
002842.SZ,31,3591.4834166666665,7206.637833333333,19435.402175
002843.SZ,55,2883.0366583333334,5806.907666666667,13650.697491666666
002845.SZ,12,3948.279670833333,8735.71935,16200.457041666668
002846.SZ,1,27126.4275,27126.4275,27126.4275
002847.SZ,10,2559.3677583333333,9353.315675,21600.445445833335
002848.SZ,44,4316.82125,8639.192074999999,15826.982245833333
002849.SZ,8,2516.5980291666665,6475.169183333333,9362.364958333334
002850.SZ,73,2596.121166666667,4328.8205,9887.854166666666
002851.SZ,10,1762.05095,5811.4050916666665,29453.815941666668
002852.SZ,9,25913.647683333333,41741.46233333334,46080.094
002853.SZ,31,5767.5968416666665,11432.559483333333,20159.722933333334
002855.SZ,54,2874.3335875000002,6477.409,12959.897779166666
002856.SZ,48,2879.4438375,10065.950491666666,15831.276583333332
002857.SZ,37,2878.8863333333334,7179.556166666666,14405.940333333334
002858.SZ,34,7554.353529166667,10084.431316666667,21599.173791666668
002859.SZ,3,30226.269658333335,56134.0365,59021.644175
002860.SZ,18,10782.942708333334,26633.000075,31135.264808333333
002861.SZ,5,2898.96835,12975.015666666666,18712.653833333334
002862.SZ,48,4319.925825,6480.559591666666,12602.688583333334
002863.SZ,8,17661.875333333333,29492.667491666667,32331.686920833334
002864.SZ,36,2919.9664875,7066.382991666667,11945.103666666668
002865.SZ,55,2874.1670083333333,7203.191833333333,12351.9375
002866.SZ,45,4303.728666666667,7185.587166666666,14406.293
002867.SZ,6,7676.5070125,9247.939408333332,10292.164566666666
002868.SZ,18,3217.2115,10797.000250000001,20171.206541666666
